prescription_name,Acute Kidney Failure,Chronic Kidney Disease,Diabetes,Heart Attack,Asthma,Liver Disease,Hypertension,Pneumonia
Potassium Chloride,59908,21891,56055,22585,12628,17145,82442,23363
Insulin,53830,32098,129145,18334,11441,12804,59133,17479
Furosemide,53096,21896,50110,21248,8768,11078,57613,19736
D5W,52933,17402,45541,23431,6827,9521,54276,17711
0.9% Sodium Chloride,47618,23613,42710,9086,10612,15379,55521,16701
NS,45995,14490,42095,12997,6714,11258,49350,17064
Iso-Osmotic Dextrose,35712,15902,30837,8964,5928,9425,32181,15315
5% Dextrose,34696,17533,26502,8229,6396,8789,31182,10438
Magnesium Sulfate,25038,9807,27486,8861,6151,7897,39293,9656
SW,22983,8431,21398,9212,4720,6363,30145,8838
Sodium Chloride 0.9%  Flush,21908,14092,28212,8605,6295,6272,37406,8480
Metoprolol,18724,6803,24762,15149,3129,1862,36826,8335
Vancomycin,18685,10548,16891,4111,3667,4830,16918,8225
Acetaminophen,18475,10770,24923,9117,5351,3632,36213,7579
Calcium Gluconate,18002,6925,15175,4654,3342,5036,20917,5764
Metoprolol Tartrate,17978,12735,22188,8921,4445,2505,32725,6242
Morphine Sulfate,17033,8429,18925,7099,3960,4734,25866,6882
Heparin,16298,9517,18905,7066,3936,3488,20740,6450
Lorazepam,15461,6099,14699,4978,4079,4767,20737,6973
Fentanyl Citrate,12165,4316,9042,3007,2395,3172,11365,4657
Sodium Bicarbonate,11813,4257,7392,2864,1023,2299,6244,2398
Warfarin,11180,7135,13487,4271,2562,1167,17596,3559
Heparin Sodium,10868,5840,12989,7341,2332,1435,16223,3757
LR,10409,3610,10128,2391,2361,1821,15811,3624
Pantoprazole,10267,5940,12169,4176,2515,4354,13938,3526
Docusate Sodium,10146,6527,15392,5990,3217,1945,21682,4166
Bisacodyl,10059,5794,13270,4152,2826,1792,17885,4356
Bag,9599,4753,8643,1979,2392,3608,11487,2991
Vial,9015,5477,9118,2339,1763,3062,9013,3022
Senna,8742,5394,10207,3489,2275,1360,12227,3798
Propofol,8658,4145,10109,3044,2520,2836,16005,3713
HYDROmorphone (Dilaudid),8342,5769,10626,1501,3465,2943,14189,3172
Vancomycin HCl,8152,1976,7374,3020,1010,1605,7263,3224
Albuterol 0.083% Neb Soln,7904,4654,8048,2130,3714,1577,10046,4429
Aspirin,7841,5687,12155,5753,1854,768,13939,2922
Levofloxacin,7551,2520,6370,2534,1457,1674,7506,5020
0.9% Sodium Chloride (Mini Bag Plus),7107,3433,5054,1070,1181,2119,5375,3182
Ipratropium Bromide Neb,7007,3611,6353,2295,2687,1200,7953,4013
Dextrose 50%,6875,4778,11938,2531,1755,1669,9893,1989
Haloperidol,6874,3052,6232,2372,1205,1774,8038,2807
Sterile Water,6307,2238,4230,1338,1123,1797,5799,1864
Midazolam,6284,2578,4499,1414,1232,1764,5653,2313
Neutra-Phos,6100,2221,5834,1437,1205,2420,7276,2862
Diltiazem,6083,2933,5230,1542,1404,864,7837,2983
Tacrolimus,6007,3871,7310,595,562,4881,2744,1328
Amiodarone,5976,3564,5478,2950,1150,395,8171,1638
Lactulose,5770,2330,4162,922,850,5890,3484,1809
Ondansetron,5710,3310,6752,1477,1636,2002,8142,2003
D5 1/2NS,5687,2564,5830,1354,1099,1902,6739,1731
Pantoprazole Sodium,5637,2324,5472,1883,967,2266,6753,1898
HydrALAzine,5551,4689,7174,1470,1155,676,8743,1648
Phytonadione,5536,2121,3322,985,582,2653,3489,1640
Norepinephrine,5166,1657,3278,1562,539,1064,3292,1551
Potassium Phosphate,4846,1276,4620,848,1173,1688,7451,2159
Lisinopril,4620,3239,8921,4079,1241,522,11123,1759
Heparin Flush (10 units/ml),4619,2639,4370,808,970,1269,4707,1631
MetRONIDAZOLE (FLagyl),4617,2358,3769,824,777,1184,3915,1555
PredniSONE,4467,3170,4300,791,1794,1824,4512,2266
Albumin 25% (12.5g / 50mL),4310,1753,2006,350,432,3958,1924,1177
CefePIME,4306,2228,3033,768,670,977,3307,2279
Piperacillin-Tazobactam,4285,1954,3156,632,666,1323,3431,1786
Piperacillin-Tazobactam Na,4110,1570,3170,966,448,951,3004,1792
OxycoDONE (Immediate Release) ,3966,2651,4354,737,1125,1665,4725,1588
Atorvastatin,3948,2899,7738,5261,1056,273,9417,1455
Docusate Sodium (Liquid),3921,2312,5260,1993,1156,603,7685,1688
Meropenem,3858,1652,2802,472,514,941,2189,1266
1/2 NS,3826,1852,4808,1670,631,1025,4125,1027
Metoclopramide,3812,2017,6684,2032,1087,800,7628,1110
Famotidine,3798,1939,4658,971,1243,1057,7518,1882
Dextrose 5%,3749,929,2780,1076,583,876,3397,1896
Insulin Human Regular,3641,1868,7981,1682,826,873,5859,995
Levothyroxine Sodium,3630,2438,4535,1196,915,707,4975,1445
NS (Mini Bag Plus),3619,1727,3151,644,519,951,2871,1314
Chlorhexidine Gluconate 0.12% Oral Rinse,3508,1991,3758,1202,950,1008,5399,1282
Fluconazole,3408,1049,2417,450,482,2082,2255,1076
Amiodarone HCl,3397,996,3587,3018,353,158,5872,1330
Nitroglycerin,3388,2324,6287,4078,991,337,9509,998
Glucagon,3324,2540,6576,1084,1070,932,5600,1090
Multivitamins,3158,1437,3009,884,722,1633,4402,1219
MethylPREDNISolone Sodium Succ,3109,1496,2099,456,922,1547,2594,1288
Acetylcysteine 20%,3108,1360,2822,1358,485,463,2585,1103
Metronidazole,3091,651,2487,1053,328,640,2488,1138
Sodium Polystyrene Sulfonate,3069,1723,2571,623,324,685,1146,708
Soln,3055,1123,2064,662,641,782,2730,1069
Phenylephrine,3012,1850,3615,1468,759,643,5744,879
Amlodipine,2986,2426,4065,949,512,277,4213,831
Heparin Flush CVL  (100 units/ml),2966,1142,3282,926,482,704,3317,1150
Hydrocortisone Na Succ.,2962,1006,2014,692,489,478,2081,1013
Captopril,2945,1064,3793,4276,621,299,5728,1533
Ciprofloxacin HCl,2886,1539,2920,796,487,1260,3284,692
Calcium Carbonate,2792,1576,2913,748,666,695,3119,1105
Oxycodone-Acetaminophen,2789,1991,6984,2762,1363,508,10734,1078
Influenza Virus Vaccine,2762,1809,3356,1094,796,771,4849,995
Midazolam HCl,2738,462,2117,1196,397,571,2740,1161
Ciprofloxacin IV,2667,1248,1994,425,494,819,2432,782
Syringe,2665,1512,4177,1866,844,820,7150,753
Iso-Osmotic Sodium Chloride,2662,1064,2710,635,747,739,4509,1250
Digoxin,2659,1353,2468,969,380,321,2771,1017
CeftriaXONE,2644,1348,2117,497,516,1355,2358,1277
Labetalol,2642,2467,3407,474,506,277,3508,765
Ranitidine,2588,2008,6676,3183,1350,358,11850,809
Aspirin EC,2568,1901,6690,4655,1053,268,11167,794
