electrolyte,total_test_count,abnormal_test_count,abnormal_rate,median_abnormal_value,first_quartile,third_quartile,min_abnormal_value,max_abnormal_value
Potassium,235501,29802,12.65472333,5.2,3.1,5.6,1.4,13.8
Hematocrit,229436,218260,95.12892484,28.7,26.1,31.5,2.1,77.7
Sodium,227379,50491,22.20565663,132,130,147,96,182
Chloride,224467,77963,34.73249965,110,95,113,56,155
Creatinine,223250,149061,66.76864502,2.1,1.5,3.1,0,138
Urea Nitrogen,222067,175815,79.17205168,44,31,65,1,290
Bicarbonate,220260,83945,38.11177699,20,17,21,5,65
Anion Gap,217613,20236,9.299076801,22,21,25,-21,77
Glucose,217230,158481,72.9553929,136,117,169,0,3565
Magnesium,205438,24232,11.79528617,2.7,1.5,2.9,0,55
Platelet Count,202122,94777,46.89098663,95,56,136,5,2315
White Blood Cells,194022,98743,50.89268227,14.3,11.8,18.6,0,846.7
Hemoglobin,194017,184870,95.28546468,9.6,8.7,10.6,0,22.3
MCHC,192843,39306,20.3823836,35.4,30.8,36,0,45.8
MCV,192800,32650,16.9346473,100,80,103,0,139
Red Blood Cells,192799,184344,95.61460381,3.21,2.88,3.56,0,9
MCH,192798,49479,25.66364796,32.6,26.5,33.7,0,48
RDW,192596,116378,60.42596939,17.4,16.4,19,0,35
Phosphate,187519,81521,43.47346136,4.7,2.3,5.7,0.3,32.8
"Calcium, Total",185371,97872,52.79790258,7.9,7.5,8.2,0,33.9
