comorbidity,patient_count,0-40,40-50,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120+
CHF NOS,2054,25,118,275,447,530,462,324,219,148,194
Hypertension NOS,2034,19,96,266,404,482,469,333,224,136,197
Atrial fibrillation,1767,18,84,228,375,462,373,299,201,129,134
Acute respiratry failure,1664,25,92,225,356,456,370,308,200,129,165
Hyperlipidemia NEC/NOS,1549,20,80,185,288,380,373,279,184,98,133
Hy kid NOS w cr kid I-IV,1417,21,61,167,295,396,322,238,152,110,125
Acidosis,1412,20,81,197,298,381,331,235,160,96,131
Severe sepsis,1380,17,61,178,314,376,324,240,187,117,129
DMII wo cmp nt st uncntr,1292,15,36,116,235,298,301,242,172,123,157
Urin tract infection NOS,1238,21,77,198,298,317,279,211,134,94,99
